Age (Ma),GMST_degC
4.269,4.162409877640405
4.268,4.165582186738038
4.267,4.188575209494258
4.266,4.261220109040356
4.265,4.171133117971808
4.264,4.081551193648489
4.263,3.986958185586893
4.262,3.8917122761952707
4.261,3.940825120627477
4.26,3.937102806101337
4.259,4.014087166926353
4.258,4.049328630940472
4.257,4.30343337889206
4.256,4.05161052734026
4.255,3.8595034224539733
4.254,3.6997664679871836
4.253,3.8786161168653983
4.252,3.897140762234866
4.251,3.91564089128795
4.25,4.002602327977269
4.249,3.9653069801560425
4.248,3.9953489209483832
4.247,4.015739187850136
4.246,4.036099244486102
4.245,3.921672082444234
4.244,4.08544050627578
4.243,4.198361949601421
4.242,4.148181676666883
4.241,4.1542539296508885
4.24,4.17567600225956
4.239,4.1297363734233725
4.238,4.0859355874688825
4.237,4.159224678958701
4.236,3.9569089709412726
4.235,3.9870694539710625
4.234,4.201322797449016
4.233,4.201764631947158
4.232,4.2022064518444715
4.231,4.218717442439852
4.23,4.21274292799578
4.229,4.254359907976825
4.228,4.042729707164967
4.227,4.0498878059565016
4.226,4.057042159467545
4.225,4.0946874572234595
4.224,4.07921963367316
4.223,4.063734216797721
4.222,3.835668846086934
4.221,3.819695800615713
4.22,3.785763026538496
4.219,3.756818915979644
4.218,3.733953535435613
4.217,3.8320876330026143
4.216,3.818170657785865
4.215,3.8230071443394684
4.214,3.8854922155293785
4.213,3.6312489264676096
4.212,3.6162739374260613
4.211,3.6115910379714276
4.21,3.6851639391211926
4.209,3.6071394884473027
4.208,3.817357938432889
4.207,3.5113118722066563
4.206,3.535021882714906
4.205,3.86507966549603
4.204,3.4780776992878457
4.203,3.5005424678128025
4.202,3.560929829942113
4.201,3.599533020114247
4.2,3.768001358568349
4.199,3.1914565174355594
4.198,3.2152462049243637
4.197,3.245927663265897
4.196,3.30711079554929
4.195,3.3599140193182286
4.194,3.471869878429419
4.193,3.6249213133321607
4.192,3.750257438545441
4.191,3.8669306417441347
4.19,3.9697063011199782
4.189,4.057177081626594
4.188,4.1440912692862435
4.187,4.219376212050956
4.186,4.262159486309126
4.185,4.275352574447512
4.184,4.272560831962447
4.183,4.213842852845295
4.182,4.154865385664958
4.181,4.111009770738134
4.18,4.067011767067139
4.179,3.9321459084240633
4.178,3.652279208479485
4.177,3.994465499252894
4.176,4.129693191572324
4.175,4.0254127327876175
4.174,4.235272426246772
4.173,4.239171071788387
4.172,4.397723467116186
4.171,4.268452190833477
4.17,4.234230147529899
4.169,4.145592684321553
4.168,4.0522435590100985
4.167,3.9488712719216217
4.166,3.953801597250401
4.165,3.6596987517069257
4.164,3.6727351846018084
4.163,3.6856499367494524
4.162,3.700426662448248
4.161,3.661190359967039
4.16,3.9138381350122837
4.159,3.890719393183707
4.158,3.8310725763140767
4.157,3.841291247854095
4.156,3.814247557687178
4.155,3.9837535020239185
